Disease Free Survival,,,,,,,,Overall Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (High),0 (Intermediate),0.151,ihc_stratification,,,,,>20 (High),0 (Intermediate),0.135,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (High),0 (High),0.765,ihc_stratification,,,,,>20 (High),0 (High),0.688,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1–19 (Intermediate),1–19 (High),0.0742,ihc_stratification,,,,,1–19 (Intermediate),1–19 (High),0.0331,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1–19 (Intermediate),0 (Intermediate),0.606,ihc_stratification,,,,,1–19 (Intermediate),0 (Intermediate),0.505,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1–19 (Intermediate),0 (High),0.227,ihc_stratification,,,,,1–19 (Intermediate),0 (High),0.109,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1–19 (High),0 (Intermediate),0.23,ihc_stratification,,,,,1–19 (High),0 (Intermediate),0.239,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1–19 (High),0 (High),0.64,ihc_stratification,,,,,1–19 (High),0 (High),0.532,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 (Intermediate),0 (High),0.418,ihc_stratification,,,,,0 (Intermediate),0 (High),0.469,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Tumor Fraction (Intermediate),Low Tumor Fraction (High),0.0114,tf_stratification,,,,,Low Tumor Fraction (Intermediate),Low Tumor Fraction (High),0.199,tf_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Tumor Fraction (Intermediate),High Tumor Fraction (Intermediate),0.668,tf_stratification,,,,,Low Tumor Fraction (Intermediate),High Tumor Fraction (Intermediate),0.0494,tf_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Tumor Fraction (Intermediate),High Tumor Fraction (High),0.203,tf_stratification,,,,,Low Tumor Fraction (Intermediate),High Tumor Fraction (High),0.642,tf_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Tumor Fraction (High),High Tumor Fraction (Intermediate),0.023,tf_stratification,,,,,Low Tumor Fraction (High),High Tumor Fraction (Intermediate),0.00376,tf_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Tumor Fraction (High),High Tumor Fraction (High),0.0769,tf_stratification,,,,,Low Tumor Fraction (High),High Tumor Fraction (High),0.354,tf_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Tumor Fraction (Intermediate),High Tumor Fraction (High),0.393,tf_stratification,,,,,High Tumor Fraction (Intermediate),High Tumor Fraction (High),0.018,tf_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
